"Method","Cost","Data_Size","log_cost"
"Method-1",41593586.4,42.9368492735173,17.5434565402687
"Method-1",83997842.4,79.5728691622408,18.2463016707634
"Method-1",51446340,51.8812605311754,17.7560498806877
"Method-1",82688299.2,71.1814129843059,18.2305886650989
"Method-1",82064707.2,95.6886339632885,18.2230186062383
"Method-1",95970808.8,97.1888028482387,18.3795546281919
"Method-1",93725877.6,90.0089373491709,18.355884884106
"Method-1",112932511.2,113.68209804282,18.5423009522365
"Method-1",122535828,113.276927800279,18.6239140186564
"Method-1",132014426.4,141.091269129055,18.6984217654879
"Method-1",101770214.4,99.5762990780272,18.4382280298771
"Method-1",137003162.4,126.537378890944,18.7355145667377
"Method-1",125653788,115.002260639526,18.6490409687338
"Method-1",201233138.4,186.139298784081,19.119974686405
"Method-1",205286486.4,191.502506163049,19.13991705615
"Method-1",181402912.8,195.460534112929,19.0162311528483
"Method-1",194186548.8,191.487392141529,19.084329846747
"Method-1",189073094.4,185.434264727215,19.0576442411153
"Method-1",217820685.6,195.463457294493,19.1991827391599
"Method-1",212831949.6,207.086172295439,19.1760134432598
"Method-1",173296216.8,172.94606107638,18.9705129240956
"Method-1",178347312,194.815869264204,18.999243398167
"Method-1",306994341.6,279.728382072815,19.5423398741113
"Method-1",244385704.8,226.963603608071,19.3142582925527
"Method-1",292215211.2,276.421506562481,19.4930011134208
"Method-1",241828977.6,224.289826719153,19.3037413301557
"Method-1",261285048,243.338341397235,19.3811225072692
"Method-1",290531512.8,283.890839993288,19.4872226061699
"Method-1",254363176.8,244.593703101515,19.3542736336706
"Method-1",316909454.4,304.866006334297,19.5741266582332
"Method-1",314040931.2,312.024664861929,19.5650338895173
"Method-1",301631450.4,291.657194965827,19.524716467176
"Method-1",336303165.6,321.032031540614,19.6335235896903
"Method-1",336739680,327.394440741238,19.6348207269054
"Method-1",348775005.6,345.864644595022,19.6699375891746
"Method-1",385878729.6,349.449808722,19.771033706046
"Method-1",406394906.4,396.490576880706,19.8228359206854
"Method-1",437325069.6,417.900194369977,19.89618734289
"Method-1",364177728,348.46485159271,19.7131525701753
"Method-1",334993622.4,335.456240419546,19.6296220519962
"Method-1",513216216,487.865788151846,20.0562077880242
"Method-1",439445282.4,409.32556246587,19.9010237676801
"Method-1",477172598.4,464.765434247168,19.9833888249132
"Method-1",474491152.8,456.153308844948,19.9777535305296
"Method-1",424915588.8,421.697385327609,19.867401092574
"Method-1",498811240.8,463.031335665709,20.0277383072019
"Method-1",487773662.4,497.106708336543,20.0053620496685
"Method-1",481475383.2,463.415787867707,19.9923656626619
"Method-1",469876572,437.969073024102,19.9679806054137
"Method-1",435579012,406.282599236222,19.8921867660441
"Method-1",540716623.2,520.622654393262,20.1084058977302
"Method-1",543023913.6,542.644485983781,20.1126639167075
"Method-1",554435647.2,513.826532999285,20.1334613024742
"Method-1",500245502.4,497.333645179386,20.0306095406831
"Method-1",583120879.2,563.31717492837,20.1839050627885
"Method-1",574265872.8,554.858360066593,20.1686030400744
"Method-1",563477731.2,548.638737828687,20.1496383719409
"Method-1",536725634.4,498.344960408832,20.1009975990025
"Method-1",700855048.8,679.78193906967,20.3678116458713
"Method-1",559174946.4,504.604644105709,20.1419729453051
"Method-1",655395192,667.481984004923,20.3007489582241
"Method-1",645604797.6,619.988882817112,20.2856981061192
"Method-1",660259209.6,647.185525460508,20.3081430577
"Method-1",666994003.2,665.368017980079,20.3182916131348
"Method-1",697861807.2,632.053519254424,20.3635316571711
"Method-1",663252451.2,614.08608724821,20.312666246716
"Method-1",578319220.8,587.064335558606,20.1756365593045
"Method-1",715696538.4,674.997948477088,20.3887668060337
"Method-1",653524416,619.608813567886,20.2978904522281
"Method-1",745753672.8,693.778992439276,20.4299059063219
"Method-1",730787464.8,721.166591331888,20.4096332296117
"Method-1",682022570.4,682.352120646349,20.3405733096883
"Method-1",631012744.8,618.168802031722,20.2628366180828
"Method-1",844343568,822.956024089744,20.5540700408193
"Method-1",722992564.8,697.294033304066,20.3989094962527
"Method-1",730662746.4,696.603677678083,20.4094625520212
"Method-1",803997165.6,756.030437606711,20.5051063017639
"Method-1",720186400.8,718.190331517492,20.3950206264681
"Method-1",846214344,807.109779189803,20.556283247182
"Method-1",817092597.6,806.850850989732,20.5212629849576
"Method-1",871719256.8,845.39744397599,20.5859779768242
