"Method_1_Cost","Method_2_Cost","Method_3_Cost"
4631729580,112480404.783522,979859.338032257
4688663529.6,113838526.964951,946600.640370296
4742604237.6,112974338.172628,958279.953692177
4825230177.6,117176242.901011,989399.001317395
4744724450.4,113568273.894191,1014963.37765047
4687478704.8,112357619.824847,1011966.25334216
4887963532.8,117091010.93223,1021114.48435888
4805961184.8,115349218.066314,1006131.99682321
4809765096,115365262.71458,971700.747441385
4574608552.8,109782637.883304,947661.449263641
4618821225.6,110533641.585871,910731.392268721
4729259368.8,113152269.553874,979362.229064151
4610090937.6,111509797.875479,1005036.68884788
4713357772.8,113678749.536938,937347.468864833
4521603232.8,108456091.291466,923126.269755955
4779707961.6,116853849.725358,1005828.71546127
4780393912.8,114462989.306839,955129.093490743
4739985151.2,114373665.63948,897361.360858696
4787253424.8,114541738.406724,977816.292825096
4665403548,111909657.588583,969527.222928225
4699077516,113239534.400312,1006127.98482344
4743040752,113642363.501877,951376.233945485
4704814562.4,112229023.952391,922053.094376642
4777151234.4,113942018.773772,939367.507053417
4593191594.4,113253281.089511,998299.372216521
4711237560,113261465.53117,973970.938009512
4621128516,111732282.22012,986851.020450488
4442843563.2,107426713.479141,929832.199586211
4492543845.6,108006958.081317,903288.76765466
4925690848.8,119645096.234192,1020236.29584184
4467787243.2,109525739.55001,938289.065138786
4813880803.2,115518344.669407,920178.317237397
4756946853.6,114910481.102594,1010247.38540341
4681118066.4,112603537.220091,963154.454799602
4953752488.8,120159444.352993,1043386.20020371
4409481391.2,106967763.571118,885130.155933842
4655051920.8,113019429.600438,946903.806727278
4690160150.4,113798876.466378,993200.549183889
4574359116,109404482.840924,911903.964375208
4785070852.8,114610028.067132,986883.039153187
4523661086.4,107176497.34435,895015.025797123
4647007584,112801641.657723,1027032.57846549
4660664248.8,111790204.324519,960236.844309837
4514182488,108697685.494806,915756.769980939
4364832204,105691134.124917,916388.033667776
4369010270.4,105076386.947893,871151.816491492
4665840062.4,111179526.272797,946137.079353505
4534075072.8,109451463.645873,927009.076632917
4731566659.2,116781749.251325,994299.762583894
4603106707.2,109557471.176287,962490.961876649
4739798073.6,115439316.121866,1012064.59511589
4648067690.4,112711162.389806,947232.722966911
4847866567.2,115762114.810645,983858.334125928
4482566373.6,107804025.532419,902878.767528849
4709990376,112763106.955129,923102.298132805
4718595945.6,113813684.795829,979215.260570827
4592505643.2,110455692.357251,902126.157922427
4744911528,115069738.98761,1026106.57152805
4780144476,115940945.400969,977937.498722414
4624121757.6,111649669.808605,987019.323251129
4710364531.2,111785850.721013,925991.17043326
4610901607.2,111963664.600047,998084.088610025
4866449608.8,117026440.739071,1022225.6065242
4514993157.6,106227455.537565,938072.92012505
4934795292,118242734.402201,1023462.44564099
4850735090.4,117518932.385396,1000085.40045486
4809390940.8,113156351.14843,953906.948461163
4827038594.4,117534699.258033,1036300.53215978
4755263155.2,113238714.803304,957039.068972996
4630232959.2,111913790.066284,980172.504523738
4461676041.6,107570441.642268,1001827.20851254
4332530138.4,105836675.913252,938329.93507072
4878360216,114612184.426798,1011455.80059837
4765988937.6,115228471.578421,949384.518644748
4572176544,109212970.747967,897314.095040375
4783012999.2,116339240.17052,968715.096061818
4623435806.4,110999202.420699,987877.120510562
4788064094.4,116440956.724973,995606.838015571
4879108526.4,116554242.735363,1018640.7414238
4582216375.2,110439250.853506,941952.516494294
4650686776.8,110381916.195086,959824.035762591
4757819882.4,116045551.665546,987491.66818444
4553655861.6,108641419.92801,896220.817582371
4730007679.2,112776221.562958,956558.849558136
4965413659.2,118970759.625558,971707.46338457
4625930174.4,110020448.866235,949726.253613275
4928933527.2,119947806.020141,1085963.42717744
4530520598.4,108304605.870026,926173.724453318
4664218723.2,114190723.38332,980049.178483684
4731940814.4,111754524.181109,874021.888948971
4948576675.2,120290341.569569,1078603.62253258
4417089213.6,106008089.273413,921853.301854422
4596558991.2,111689745.338467,971684.260935868
4639711557.6,112236452.567756,956243.430785828
4818682461.6,115211207.264925,997966.055285973
4492606204.8,108592953.608401,901627.30869446
4566190060.8,109634569.126155,875491.64714919
4660788967.2,110900529.368225,947220.657747301
4720529080.8,112476040.522765,951637.876640995
4756011465.6,114709163.642025,977532.994327235
4810638124.8,112853071.540903,968296.24245354
4634223948,112648198.137402,1016564.76100621
4633163841.6,110456094.636619,982673.939945773
4811573512.8,117946580.757975,1046369.48978812
4714542597.6,112795620.172586,996250.753472161
4397196628.8,104621045.853411,933340.88872106
4639462120.8,110621526.301344,970871.307565541
4716974606.4,112534952.866904,956603.822730727
4671514749.6,114698274.877881,992363.134428579
4689661276.8,113673148.35973,951390.339206515
4665278829.6,112425671.445445,942698.515529262
4935855398.4,118391812.576752,1001866.54946447
4469159145.6,107492840.608578,908651.069089379
4544676136.8,110836565.651654,917067.514184734
4691469693.6,113098035.017743,1007417.43572725
4427752636.8,107178510.594251,879012.148283183
4618945944,111442767.864117,975172.211213574
4523474008.8,109567683.909209,976527.806226101
4706186464.8,113290178.367497,981804.405637517
4824668944.8,115493390.43429,1035843.88019742
4826913876,114774418.705015,1014629.83803702
4870627675.2,116927315.121479,1016909.67359995
4794798888,113921478.961883,952640.409118257
4454816529.6,107341063.605478,933728.975002826
4559330548.8,109523212.497425,946096.135206478
4503830860.8,107197626.284426,904125.946263061
4496472475.2,108430279.385081,903117.411470139
4691220256.8,111913692.454807,987024.602699096
4931926768.8,120324517.864125,1042372.98813654
4775779332,115645224.505856,973187.23537172
4646072196,112833856.091053,971783.562964659
4646882865.6,111373938.329957,887400.787876392
4670579361.6,111419696.651663,917414.91565946
4712547103.2,113492829.621697,962449.561062875
4429810490.4,106869121.675798,989470.864800742
4781454019.2,116462506.409664,1045248.44395107
4724145914.4,111837476.406481,923788.189747528
4447458144,106583213.038638,893502.434953899
4720466721.6,112459414.242552,922542.374948067
4826040847.2,115977388.834242,1010170.46427992
4979070324,119004391.928806,981095.88777663
4742728956,114791370.942015,987237.716759683
4683425356.8,113220158.125381,971210.646319046
4728199262.4,113614701.320012,951374.501413901
